institution.displayName,institution.state,institution.city,searchData.tuition.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,School Website,searchData.acceptanceRate.rawValue,ID,
Bay State College,MA,Boston,22320,700,N/A,https://www.baystate.edu/,70,123,
Beacon College,FL,Leesburg,,,N/A,//www.beaconcollege.edu/,,124,
Becker College,MA,Worcester,,,970-1160,http://www.beckercollege.edu,69,125,
Belhaven University,MS,Jackson,26202,2308,1018-1213,http://www.belhaven.edu,52,126,
Bellarmine University,KY,Louisville,42430,2552,1060-1270,http://www.bellarmine.edu,86,127,
Bellevue College,WA,Bellevue,,,N/A,//www.bellevuecollege.edu,,128,
Bellevue University,NE,Bellevue,,,N/A,//www.bellevue.edu,,129,
Bellin College,WI,Green Bay,,,N/A,//www.bellincollege.edu/,,130,
Bellingham Technical College,WA,Bellingham,,,N/A,//www.spokanefalls.edu,,131,
Belmont Abbey College,NC,Belmont,18500,1556,950-1180,http://www.belmontabbeycollege.edu,80,132,
Belmont University,TN,Nashville,35650,6656,1120-1300,//www.Belmont.edu,82,133,
Beloit College,WI,Beloit,51532,1275,1120-1360,http://www.beloit.edu,56,134,
Bemidji State University,MN,Bemidji,8696,4727,N/A,http://www.bemidjistate.edu,65,135,
Benedict College,SC,Columbia,,,N/A,http://www.benedict.edu,,136,
Benedictine College,KS,Atchison,30530,2057,1050-1280,http://www.benedictine.edu,97,137,
Benedictine University,IL,Lisle,34290,2718,980-1190,//www.ben.edu,65,138,
Benjamin Franklin Institute of Technology,MA,Boston,,,N/A,//www.bfit.edu,,139,
Bennett College,NC,Greensboro,18513,534,800-1000,http://www.bennett.edu,96,140,
Bennington College,VT,Bennington,55950,735,1230-1390,http://www.bennington.edu,57,141,
Bentley University,MA,Waltham,51830,4253,1240-1410,http://www.bentley.edu,43,142,
Berea College,KY,Berea,,1673,1030-1213,http://www.berea.edu,38,143,
Berkeley College,NJ,Woodland Park,26500,3324,N/A,https://berkeleycollege.edu/,,144,
Berkeley College,NY,New York,26500,3696,N/A,http://www.berkeleycollege.edu,,145,
Berklee College of Music,MA,Boston,45660,6400,N/A,http://www.berklee.edu,52,146,
Berry College,GA,Mount Berry,37246,1936,1110-1310,https://www.berry.edu/,66,147,
Bethany College,WV,Bethany,30666,560,890-1130,http://www.bethanywv.edu,91,148,
Bethany College,KS,Lindsborg,29565,806,890-1060,http://www.bethanylb.edu,70,149,
