institution.displayName,institution.state,institution.city,searchData.tuition.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,School Website,searchData.acceptanceRate.rawValue
Berklee College of Music,MA,Boston,45660,6400,N/A,http://www.berklee.edu,52
Berry College,GA,Mount Berry,37246,1936,1110-1310,https://www.berry.edu/,66
Bethany College,WV,Bethany,30666,560,890-1130,http://www.bethanywv.edu,91
Bethany College,KS,Lindsborg,29565,806,890-1060,http://www.bethanylb.edu,70
Bethany Lutheran College,MN,Mankato,28080,739,1060-1245,http://www.blc.edu,78
Bethel College,KS,North Newton,29390,444,920-1147,http://www.bethelks.edu,44
Bethel University,MN,St. Paul,38460,2857,1033-1286,https://www.bethel.edu,71
Bethel University,IN,Mishawaka,29170,1285,970-1170,http://www.betheluniversity.edu,92
Bethel University,TN,McKenzie,17010,4560,820-1072,http://www.bethelu.edu,67
Bethune-Cookman University,FL,Daytona Beach,14814,3620,850-1010,http://www.bethune.cookman.edu,79
Binghamton University--SUNY,NY,Binghamton,27791,14021,1310-1440,http://www.binghamton.edu,40
BI Norwegian Business School,,0484 Oslo,,,N/A,//www.bi.edu,
Biola University,CA,La Mirada,41976,4010,1060-1260,http://www.biola.edu,87
Birmingham-Southern College,AL,Birmingham,18238,1268,1040-1250,https://www.bsc.edu,57
Bismarck State College,ND,Bismarck,5588,3778,N/A,https://bismarckstate.edu/,
Blackburn College,IL,Carlinville,23510,566,940-1140,http://www.blackburn.edu,54
Black Hills State University,SD,Spearfish,12155,3745,958-1180,http://www.bhsu.edu,88
Blessing-Rieman College of Nursing and Health Sciences,IL,Quincy,27350,264,N/A,http://www.brcn.edu/,51
Bloomfield College,NJ,Bloomfield,29550,,840-1040,http://www.bloomfield.edu,64
Bloomsburg University of Pennsylvania,PA,Bloomsburg,22532,8253,990-1150,http://www.bloomu.edu,77
Bluefield College,VA,Bluefield,27036,947,898-1063,http://www.bluefield.edu,94
Bluefield State College,WV,Bluefield,14352,1275,890-1080,https://bluefieldstate.edu/,76
Blue Mountain College,MS,Blue Mountain,14100,631,890-1100,https://bmc.edu/,93
Bluffton University,OH,Bluffton,33736,700,870-1100,http://www.bluffton.edu,42
Bob Jones University,SC,Greenville,19100,2647,1028-1230,http://www.butler.edu,78
Boise State University,ID,Boise,24988,22064,1030-1220,http://www.boisestate.edu,81
Boricua College,NY,New York,11025,639,N/A,http://www.boricuacollege.edu/,73
Boston Architectural College,MA,Boston,21894,272,N/A,http://www.the-bac.edu,100
Boston College,MA,Chestnut Hill,57910,9377,1320-1490,http://www.bc.edu,28
Boston University,MA,Boston,55892,18515,1330-1500,http://www.bu.edu,22
Bowdoin College,ME,Brunswick,56350,1828,1300-1510,https://www.bowdoin.edu,10
Bowie State University,MD,Bowie,19136,5308,860-1020,//www.bowiestate.edu,33
Bowling Green State University,OH,Bowling Green,19305,14858,1000-1200,http://www.bgsu.edu,72
Bradley University,IL,Peoria,34610,4606,1090-1290,http://www.bradley.edu,67
Brandeis University,MA,Waltham,57561,3639,1280-1500,http://www.brandeis.edu,31
Brandman University,CA,Irvine,15440,4246,N/A,http://www.brandman.edu,79
Brazosport College,TX,Lake Jackson,,,N/A,//www.brazosport.edu,
Brenau University,GA,Gainesville,31084,1754,910-1140,http://www.brenau.edu,65
Brescia University,KY,Owensboro,23500,991,1000-1220,http://www.brescia.edu,39
Brevard College,NC,Brevard,30250,702,920-1100,http://www.brevard.edu,46
Brewton-Parker College,GA,Mount Vernon,,,870-1060,http://www.bpc.edu,99
Briar Cliff University,IA,Sioux City,30970,976,980-1180,http://www.briarcliff.edu,60
Bridgewater College,VA,Bridgewater,36600,1839,980-1170,http://www.bridgewater.edu,66
Bridgewater State University,MA,Bridgewater,16640,9504,990-1150,http://www.bridgew.edu/admissions,90
Brigham Young University--Hawaii,HI,Laie Oahu,,,1090-1253,http://www.byuh.edu,37
Brigham Young University--Idaho,ID,Rexburg,,,990-1180,http://www.byui.edu,95
Brigham Young University--Provo,UT,Provo,5790,31441,1190-1420,http://www.byu.edu,64
Brock University,,"St. Catharines, Ontario",,,N/A,//www.brocku.ca/,
Broward College,FL,Fort Lauderdale,10779,40784,N/A,//www.broward.edu,100
Brown University,RI,Providence,58504,7043,1420-1550,https://www.brown.edu/admission/undergraduate/,8
Bryan College,TN,Dayton,28000,1241,974-1262,http://www.bryan.edu,51
Bryan College of Health Sciences,NE,Lincoln,,,N/A,,
Bryant University,RI,Smithfield,45395,3499,1130-1300,http://www.bryant.edu,76
Bryn Athyn College of the New Church,PA,Bryn Athyn,24471,296,996-1203,http://www.brynathyn.edu,89
Bryn Mawr College,PA,Bryn Mawr,54440,1360,1300-1500,http://www.brynmawr.edu,34
Bucknell University,PA,Lewisburg,58196,3597,1250-1420,http://www.bucknell.edu,33
Buena Vista University,IA,Storm Lake,35194,1619,920-1140,http://www.bvu.edu,58
Butler University,IN,Indianapolis,42360,4698,1170-1330,http://www.butler.edu,68
Cabarrus College of Health Sciences,NC,Concord,,,N/A,http://www.cabarruscollege.edu,
Cabrini University,PA,Radnor,32775,1709,990-1170,http://www.cabrini.edu,72
Cairn University,PA,Langhorne,27279,805,890-1130,http://cairn.edu/,89
Caldwell University,NJ,Caldwell,35740,1651,960-1145,http://www.caldwell.edu,66
